,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
59,0.5,0,0,3,0,1615.008157,1,1,22.589694,88.372957,99.0
60,0.5,0,0,3,0,1150.0069,1,1,19.014858,72.8662,250.0
61,0,0,0,2,0,1100.0,1,1,26.955346,75.73479300000001,27.5
62,0.5,1,1,2,0,906.2661833,0,0,24.69028,78.41889,70.0
63,0,0,0,3,0,1454.333915,1,1,10.77,76.38,50.0
64,0,0,0,3,0,1591.994542,1,1,28.506454,77.40956800000001,70.0
65,0.5,0,1,2,0,573.8769151,1,1,28.406388,77.342588,22.1
66,0.5,0,1,3,0,1038.883942,1,1,19.12,72.91,280.0
67,0,0,0,3,0,1538.141758,1,1,13.11389,77.59833,74.0
68,0,0,0,2,0,5000.0,1,1,26.850391,75.814198,85.0
69,0.5,0,0,3,0,1602.084012,1,1,28.368269,77.37273,49.2
70,0,0,0,2,0,1200.0,1,1,16.51667,80.61667,45.0
71,0,0,0,2,0,760.0709400000001,1,1,15.86667,74.5,60.0
72,0,1,0,2,0,739.8273736000001,0,1,23.25,77.41667,30.0
73,0,0,0,2,0,1260.02291,1,1,13.0915,74.7844,33.0
74,0,0,0,2,0,1100.151745,1,1,21.093676,79.111965,29.0
75,0.5,0,1,3,0,2293.077091,1,1,18.5438,73.9438,210.0
76,0.5,0,0,2,0,1146.480331,1,1,19.216097,72.821721,88.6
77,0.5,0,1,4,0,2224.059764,1,1,19.1615,72.8731,780.0
78,0.5,0,0,2,0,759.8784195000001,1,1,22.452032,88.298947,30.0
79,0,0,0,4,0,2260.251857,1,1,12.9506,77.5952,140.0
80,0.5,0,0,3,0,767.0182167,1,1,20.742166,80.104602,240.0
81,0,0,0,4,0,2500.0,1,1,28.66667,77.41667,160.0
82,0.5,1,1,4,0,2286.236854,0,1,21.0,77.0,100.0
83,0,0,1,2,0,1150.086256,1,1,28.577673,77.389781,60.0
84,0.5,0,1,2,0,1004.932182,1,1,18.966114,73.148278,81.5
85,0,0,0,2,0,800.0,1,1,22.56972,88.36972,34.0
86,0.5,1,0,3,0,993.75,0,1,26.706157,88.439748,31.8
87,0.5,0,0,2,0,1298.139334,1,1,23.169982,77.477889,30.0
88,0.5,0,1,2,0,996.797438,1,1,26.900926,75.775927,24.9
89,0,0,0,2,0,985.0194952,1,1,12.98556,77.66389000000001,48.0
90,0.5,0,0,3,0,1118.75,1,1,12.91716,80.19287,53.7
91,0.5,0,1,2,0,889.8305085000001,1,1,28.506454,77.40956800000001,42.0
92,0,0,0,3,0,2738.22563,1,1,12.863421,77.652405,150.0
93,0.5,1,1,4,0,1725.4901960000002,0,0,19.049513,72.91920400000001,440.0
94,0.5,1,1,3,0,2488.004265,0,1,30.654128000000004,76.732427,140.0
95,0.5,0,0,3,0,1200.082764,1,1,23.207157,88.404471,58.0
96,0.5,0,0,2,0,1584.283904,1,1,26.459137,79.506922,100.0
97,0,0,0,2,0,900.0,1,1,23.2257,72.51679,18.0
98,0.5,0,1,2,0,1193.440032,1,1,18.441256,74.647361,60.4
99,0,0,0,2,0,1487.357462,1,1,26.8626,75.7633,30.0
100,0,1,1,2,0,989.9029895,0,1,28.5035,77.426447,50.0
101,0.5,0,0,2,0,1155.020213,1,1,19.147866,72.932609,140.0
102,0,0,0,2,0,949.893137,1,1,11.93,79.83,80.0
103,0,0,0,2,0,875.0,1,1,28.560719,77.386208,49.0
104,0.5,0,0,2,0,853.3611982000001,1,1,12.96991,77.59796,24.5
105,0,0,0,1,0,483.0917874,1,1,18.4543,73.1147,18.0
106,0.5,0,0,2,0,800.0,1,1,19.18,72.96333,95.0
107,0,0,0,2,0,802.0415602999999,1,1,28.66667,77.41667,22.0
108,0.5,0,1,2,0,610.0660905,1,1,13.069866,80.19842299999999,48.0
109,0,0,0,3,0,1680.107527,1,1,28.861993,78.756315,75.0
110,0,0,0,2,0,1150.136038,1,1,19.980678,79.297436,93.0
111,0,0,0,3,0,1550.114497,1,1,28.576117,77.382136,88.0
112,0,0,0,5,0,1699.834163,1,1,28.6711,77.3683,82.0
113,0,1,0,3,0,1600.170685,0,1,9.952439,76.36329649999999,75.0
114,0,0,0,1,0,600.0566091,1,1,18.75,73.08,21.2
115,0.5,0,1,2,0,1429.200617,1,1,30.661104,76.746082,64.9
116,0,0,0,2,0,1115.1379980000002,1,1,13.008071,77.65129499999999,80.0
117,0.5,0,0,4,0,2750.929368,1,1,27.216013,77.950834,74.0
118,0,0,0,3,0,1811.196487,1,1,23.35556,85.33471999999999,99.0
119,0,0,0,2,0,1045.036079,1,1,22.43917,88.39583,42.0
120,0.5,0,0,3,0,3433.996566,1,1,28.403138,77.070052,340.0
121,0,0,0,3,0,1298.219585,1,1,12.840956,77.659441,70.0
122,0,1,1,2,0,1109.165207,0,1,13.278237,74.747328,38.0
123,0.5,1,1,4,0,1304.034182,0,0,18.96,72.82,470.0
124,0.5,0,1,2,0,1041.195111,1,1,28.59632,77.38143000000001,46.0
125,0.5,0,0,3,0,2135.748916,1,1,28.394375,77.35722700000001,83.7
126,0,0,1,3,0,1850.180505,1,1,28.579004,77.431173,82.0
127,0.5,0,0,3,0,1665.080875,1,1,23.166495,72.63429000000001,70.0
128,0,0,1,2,0,398.2621289,1,1,26.707154,80.98234599999999,11.0
129,0,0,0,2,0,1005.025126,1,1,12.80009,77.71181999999999,48.0
130,0.5,0,1,4,0,4900.959771,1,1,18.5438,73.9438,240.0
131,0.5,0,1,2,0,1294.016156,1,1,19.128324,72.825408,330.0
132,0.5,0,1,3,0,1536.806516,1,1,28.6423,77.3445,100.0
133,0,0,0,2,0,1123.188406,1,1,12.9816,77.6729,62.0
134,0.5,0,0,2,0,800.1939864,1,1,26.955346,75.73479300000001,16.5
135,0.5,0,1,4,0,2655.807365,1,1,19.239813,72.962722,300.0
136,0.5,0,0,3,0,1513.775356,1,1,12.905368,77.580403,100.0
137,0,0,0,3,0,1280.0,1,1,9.930471,76.271273,48.0
138,0,0,0,1,0,410.0678733,1,1,28.568846,77.324966,14.5
139,0.5,0,0,4,0,3429.355281,1,1,22.312063,72.674296,100.0
140,0.5,0,0,2,0,890.0451868999999,1,1,28.582887,77.339935,65.0
141,0,0,0,2,0,977.7082519,1,1,22.1764,75.8193,25.0
142,0.5,0,0,2,0,1099.855282,1,1,12.977126,77.577724,38.0
143,0,1,0,2,0,1050.241272,0,1,26.29564,73.03943000000001,37.0
144,0.5,0,1,3,0,1400.241838,1,1,26.900926,75.775927,57.9
145,0.5,0,0,3,0,1740.139211,1,1,19.048979,73.078232,180.0
146,0.5,0,1,2,0,1149.131767,1,1,24.69028,78.41889,180.0
147,0.5,0,0,2,0,650.1950585,1,1,11.026678,76.903583,20.0
148,0,0,0,2,0,1355.01355,1,1,26.878068,75.77985600000001,85.0
149,0.5,0,0,3,0,1800.0720030000002,1,1,12.96991,77.59796,150.0
150,0.5,0,1,2,0,907.6305221,1,1,21.56128,74.21238000000001,33.9
151,0.5,0,0,3,0,1636.296021,1,1,13.141581,77.749756,88.0
152,0,0,0,2,0,900.2520706,1,1,22.261354,73.215533,25.0
153,0,0,0,2,0,1318.0440230000002,1,1,12.905538,77.694263,100.0
154,0.5,0,1,3,0,1949.586451,1,1,30.684523,76.691728,99.0
155,0.5,0,0,3,0,1643.36522,1,1,9.930471,76.271273,67.0
156,0.5,0,0,3,0,1233.045623,1,1,18.96,72.82,210.0
157,0.5,0,0,1,0,655.0802139,1,1,18.964489,73.019574,49.0
158,0,0,0,2,0,1180.173092,1,1,12.96991,77.59796,75.0
159,0,0,0,3,0,1200.087279,1,1,28.6711,77.3683,55.0
160,0.5,0,0,4,0,6974.645114,1,1,22.53028,88.33417,1700.0
161,0,1,1,4,0,2700.075602,0,1,28.535689,77.35967099999999,250.0
162,0,0,0,2,0,850.0991782,1,1,26.928785,75.828002,30.0
163,0.5,1,1,4,0,2636.296531,0,1,12.8855,77.5638,250.0
164,0,0,0,2,0,900.0163639,1,1,12.928575,77.58572099999999,55.0
165,0.5,1,0,4,0,2472.952087,0,1,18.475864,73.89000899999999,160.0
166,0.5,0,0,2,0,904.0656205,1,1,20.098413,79.10786,50.7
167,0.5,1,1,1,0,265.0033933,0,1,19.1145,72.8712,82.0
168,0.5,1,1,3,0,1570.306924,0,1,26.16667,75.78333,110.0
169,0.5,0,0,2,0,955.4140127,1,1,19.255098,72.9815265,150.0
170,0.5,0,0,2,0,1000.0,1,1,28.593566,77.362752,60.0
171,0.5,0,0,4,0,2494.747899,1,1,12.995285,77.766797,95.0
172,0,0,0,2,0,1150.130348,1,1,13.1101,80.2095,75.0
173,0.5,0,0,2,0,1210.136674,1,1,19.0168,73.09646,85.0
174,0.5,0,0,2,0,1365.001365,1,1,19.126499,72.99956,200.0
175,0.5,1,1,2,0,499.6366279,0,0,19.255098,72.9815265,110.0
176,0.5,0,0,2,0,1050.144395,1,1,22.271214,73.188827,40.0
177,0,0,0,1,0,476.0204688999999,1,1,13.020957,80.152774,40.0
178,0.5,0,0,2,0,985.452839,1,1,28.538774,77.366515,21.0
179,0.5,0,0,2,0,1045.296167,1,1,28.368269,77.37273,24.0
180,0.5,1,1,2,0,1301.89498,0,1,12.86,77.786,90.0
181,0,0,0,2,0,2000.0,1,1,28.2102,76.8606,38.0
182,0.5,1,1,4,0,4465.709729,0,1,28.526624,77.37671800000001,280.0
183,0.5,0,0,2,0,1192.0,1,1,20.286571,85.810906,59.6
184,0.5,1,0,3,0,1846.153846,0,0,22.5922,88.484911,120.0
185,0.5,1,0,1,0,448.5310608,0,1,19.221571,73.042474,120.0
186,0,0,0,2,0,750.0604887000001,1,1,28.66667,77.41667,31.0
187,0.5,0,0,2,0,1060.0706710000002,1,1,19.040066,73.115347,72.0
188,0.5,0,1,3,0,1415.09434,1,1,12.8458,77.6727,79.5
189,0.5,0,0,2,0,1160.062565,1,1,18.96,72.82,89.0
190,0.5,0,0,3,0,1690.024732,1,1,19.1615,72.8731,410.0
191,0,1,0,3,0,1672.762741,0,1,28.495803,77.42684799999999,68.6
192,0,0,0,2,0,1315.265046,1,1,20.606469,72.913465,33.0
193,0.5,0,0,1,0,650.026001,1,1,19.245347,73.124577,50.0
194,0,0,0,1,0,540.1755571,1,1,19.585537,72.83686800000001,16.0
195,0.5,0,0,3,0,1830.065359,1,1,20.098413,79.10786,98.0
196,0.5,0,0,3,0,1575.157516,1,1,28.66667,77.41667,70.0
197,0.5,0,0,3,0,1530.0,1,1,12.904179,77.665897,76.5
198,0,0,0,2,0,619.6377502,1,1,12.758604,77.700377,26.0
199,0,0,0,4,0,2200.0,1,1,21.17,72.83,110.0
200,0.5,0,0,3,0,1757.188498,1,1,40.67197199,-86.15292909,77.0
201,0.5,0,1,2,0,1087.885617,1,1,19.239813,72.962722,140.0
202,0,0,0,2,0,1199.862873,1,1,12.880993,77.557654,70.0
203,0,0,0,2,0,1265.035255,1,1,13.033421,77.603954,61.0
204,0.5,0,0,2,0,676.0453302,1,1,22.301625,88.242147,17.3
205,0,0,0,2,0,800.0,1,1,28.678014,77.38296,42.0
206,0,0,0,2,0,750.0750075,1,1,22.486821,88.233267,25.0
207,0.5,0,1,2,0,1500.0,1,0,13.086769,80.191135,150.0
208,0.5,0,0,3,0,1814.285714,1,1,20.257483,85.780142,88.9
209,0.5,0,1,3,0,1195.652174,1,1,24.69028,78.41889,110.0
210,0.5,0,0,3,0,1395.032324,1,1,26.900926,75.775927,41.0
211,0,0,0,2,0,850.1594049,1,1,19.696531,72.767746,24.0
212,0.5,0,0,2,0,909.4339623,1,1,12.957707,80.18367099999999,48.2
213,0,1,0,2,0,910.0937672,0,1,25.248438,83.014116,33.0
214,0.5,0,0,3,0,1850.070303,1,1,12.96991,77.59796,250.0
215,0.5,0,1,3,0,2069.857697,1,1,28.546788,77.37849399999999,160.0
216,0.5,0,1,2,0,820.0082001000001,1,1,19.18,72.96333,140.0
217,0.5,0,0,2,0,1241.8075199999998,1,1,23.182972,72.611485,36.0
218,0.5,0,1,3,0,1014.120668,1,0,18.5438,73.9438,79.0
219,0.5,0,0,4,0,2302.158273,1,1,30.697795000000003,76.714722,160.0
220,0.5,0,0,2,0,900.0782677000001,1,1,24.69028,78.41889,69.0
221,1,1,0,2,0,898.5074627,0,0,26.154874,91.670312,30.1
222,0.5,0,0,3,0,2235.294118,1,1,26.91667,75.86667,190.0
223,0.5,0,0,3,0,1350.0,1,1,28.5679,77.3679,81.0
224,0.5,0,1,2,0,1100.110011,1,1,18.485487,73.80377299999999,70.0
225,0.5,0,1,1,0,612.1199755,1,1,12.8356,80.1682,30.0
226,0,0,0,2,0,1100.352113,1,1,20.892133,77.741664,25.0
227,0.5,0,1,5,0,5194.805195,1,1,28.522931,77.357078,400.0
228,0.5,0,0,3,0,1475.2567689999998,1,1,28.506454,77.40956800000001,79.0
229,0.5,0,1,4,0,2780.191138,1,1,28.558047,77.392752,160.0
230,1,1,0,1,0,300.0260892,0,0,24.69028,78.41889,11.5
231,0,0,0,2,0,1000.0,1,1,17.7,83.25,50.0
232,0.5,0,0,2,0,1532.720245,1,1,19.1615,72.8731,230.0
233,0.5,1,1,2,0,995.8314034,0,0,22.311323,73.121275,21.5
234,0.5,0,0,3,0,1646.706587,1,0,28.406794,76.936447,110.0
235,0.5,0,0,4,0,2350.965575,1,1,30.664299,76.817624,56.0
236,0,0,0,3,0,534.061239,1,1,28.34532,77.299035,45.0
237,0.5,1,1,2,0,1100.0,0,1,19.218498,72.992114,110.0
238,0.5,0,0,3,0,1968.888889,1,1,26.16667,91.76667,88.6
239,0.5,0,1,3,0,2196.354052,1,1,28.536585,77.383669,100.0
240,0.5,0,1,4,0,2400.0,1,1,22.281215,70.789479,300.0
241,0.5,0,0,2,0,1650.252861,1,1,18.49667,73.94167,62.0
242,0.5,1,1,2,0,632.0572844999999,0,0,19.402549,72.85441800000001,45.9
243,0,0,0,2,0,1034.965035,1,1,26.882832,81.033767,37.0
244,0.5,0,0,2,0,965.0439631,1,1,18.96,72.82,90.0
245,1,1,1,2,0,600.5495224,0,0,24.69028,78.41889,45.9
246,0.5,0,0,2,0,984.8484848,1,1,19.255098,72.9815265,130.0
247,0.5,0,0,3,0,1700.060716,1,1,19.05871,72.89969,420.0
248,0.5,0,1,1,0,546.0145603999999,1,0,19.18,72.96333,58.5
249,0.5,0,0,2,0,1195.499297,1,1,22.55,72.9,17.0
250,0.5,1,1,3,0,1677.4685470000002,0,1,18.914541,72.818211,220.0
251,0.5,0,1,3,0,1699.716714,1,1,28.629811,77.434197,48.0
252,0.5,0,0,2,0,1075.027996,1,1,28.602325,77.40199399999999,48.0
253,0.5,1,1,1,0,485.790072,0,0,19.222101,72.988231,64.1
254,0,0,0,2,0,929.8998569,1,1,12.919423,77.522774,52.0
255,0.5,0,0,3,0,1438.021283,1,1,19.124896,72.89350300000001,600.0
256,0.5,0,0,5,0,5299.954894,1,1,12.91668,77.59196,470.0
257,0.5,0,1,2,0,1020.181859,1,1,13.055985,77.622157,46.0
258,0,0,0,2,0,1070.135002,1,1,28.6423,77.3445,65.0
259,0,0,0,2,0,2400.384061,1,1,13.603543,79.460402,50.0
260,0,0,0,3,0,1767.388826,1,1,17.546483,78.480303,77.5
261,1,1,1,1,0,524.0,0,0,18.6182,73.7447,26.2
262,0.5,1,1,2,0,923.7875289,0,1,28.359199,76.836683,120.0
263,0.5,0,0,3,0,1657.275439,1,1,12.9223,77.5532,100.0
264,0.5,0,0,2,0,680.0,1,1,19.1759,72.9522,170.0
265,0,0,0,2,0,1100.478469,1,1,22.3301,73.1611,23.0
266,0.5,0,1,3,0,1701.6949149999998,1,0,21.152442,81.090184,50.2
267,0,0,0,1,0,451.0309278,1,1,28.689982,77.339807,14.0
268,0.5,0,0,3,0,2727.8562260000003,1,1,22.54111,88.33778000000001,85.0
269,0,0,0,2,0,1000.0,1,1,18.116670000000003,83.41667,30.0
270,0.5,0,0,3,0,1790.1897600000002,1,1,28.388225,76.946376,100.0
271,0,0,0,2,0,1100.352113,1,1,22.598675,88.438512,25.0
272,0.5,0,1,2,0,1232.162459,1,1,28.381971000000004,77.347688,44.9
273,0.5,0,0,1,0,497.988891,1,1,26.137220000000003,91.62778,26.0
274,0,0,0,3,0,1726.017442,1,1,12.995285,77.766797,95.0
275,0.5,1,1,3,0,1320.052802,0,1,18.5438,73.9438,110.0
276,0,0,0,2,0,990.0990099,1,1,21.250076,81.660749,25.0
277,0.5,0,0,1,0,675.0441375,1,1,24.69028,78.41889,65.0
278,0,0,0,2,0,674.0361283,1,1,10.5339,76.2085,25.0
279,0.5,0,0,1,0,775.1114886,1,1,28.543278000000004,77.358896,36.5
280,0.5,0,0,2,0,718.1042049,1,1,19.12,72.91,180.0
281,0.5,1,1,4,0,3200.0,0,1,28.429614,77.481711,180.0
282,0,0,1,2,0,945.1795841,1,1,24.586021,80.78740400000001,30.0
283,0.5,0,1,2,0,1089.028042,1,1,20.07911,73.911636,160.0
284,0.5,0,1,2,0,942.1518749,1,1,12.96991,77.59796,50.0
285,0.5,0,0,2,0,1370.0,1,1,19.980678,79.297436,82.2
286,0,0,0,2,0,1265.111049,1,1,9.90708,78.102316,90.0
287,0.5,0,0,3,0,1394.31121,1,1,24.69028,78.41889,100.0
288,0.5,1,0,2,0,800.0,0,1,12.80009,77.71181999999999,27.0
289,0.5,1,1,3,0,1505.144771,0,1,30.662283,76.822397,62.9
290,0,0,0,3,0,1067.270375,1,1,25.232239,71.392013,33.0
291,0,0,0,3,0,1400.059577,1,1,12.913771,77.768321,94.0
292,0.5,0,0,1,0,728.9473684,1,1,26.807408,75.83865899999999,27.7
293,0.5,0,1,3,0,1293.103448,1,0,26.900926,75.775927,37.5
294,1,1,1,3,0,106469.0027,0,0,24.69028,78.41889,9480.0
295,0.5,0,0,3,0,2939.624633,1,1,28.403138,77.070052,390.0
296,0.5,0,1,2,0,1431.068385,1,1,30.661104,76.746082,65.5
297,0,0,0,3,0,1350.063532,1,1,12.96991,77.59796,85.0
298,0,0,0,1,0,750.1630789,1,1,21.189685,72.841062,23.0
299,0.5,0,1,3,0,1170.074459,1,1,24.69028,78.41889,99.0
300,0,0,0,2,0,1121.076233,1,1,24.69028,78.41889,45.0
301,0.5,0,0,4,0,1904.761905,1,1,30.714837,76.751896,100.0
302,0.5,0,0,4,0,7054.132801999999,1,1,28.388225,76.946376,460.0
303,0.5,0,0,2,0,950.0285009,1,1,19.1758,72.8643,150.0
304,0,0,0,2,0,969.9321048,1,1,12.852041,77.616315,40.0
305,0.5,0,0,1,0,636.0078278,1,1,19.038205,73.06612,52.0
306,0.5,0,0,4,0,4578.507945,1,1,12.929162,77.629041,340.0
307,0,0,0,1,0,700.0259269,1,1,18.5823,73.983,27.0
308,0.5,0,0,3,0,1859.637775,1,1,19.218498,72.992114,230.0
309,0,0,0,3,0,1700.1866059999998,1,1,31.097061,77.15489699999999,82.0
310,0.5,0,0,3,0,1847.187238,1,0,28.397468,76.945489,110.0
311,0.5,0,1,1,0,509.5541401,1,0,18.966114,73.148278,40.0
312,0.5,0,0,3,0,1427.424391,1,1,22.56972,88.36972,160.0
313,0,0,0,2,0,715.0518413,1,1,26.532207,75.520538,20.0
314,0,0,0,3,0,1393.214227,1,1,19.062322,72.88075400000001,85.0
315,0,0,0,2,0,900.3215434,1,1,30.768683000000003,76.650876,22.4
316,0.5,0,0,2,0,1000.0,1,1,19.18,72.96333,120.0
317,0,0,0,2,0,800.0,1,1,26.209302,78.194369,35.0
318,0.5,1,0,1,0,445.0304928000001,0,1,20.084522,72.900306,54.0
319,0,0,0,2,0,1125.175809,1,1,12.96991,77.59796,56.0
320,0.5,0,0,2,0,1015.113918,1,1,19.283359,72.864964,90.0
321,0,0,1,2,0,1200.4175369999998,1,1,23.185756,77.498465,23.0
322,0.5,0,1,1,0,1060.147122,1,1,13.23,77.7,49.0
323,0,0,0,3,0,1654.8463359999998,1,1,9.930471,76.271273,70.0
324,0.5,0,0,3,0,1175.121811,1,1,22.54111,88.33778000000001,41.0
325,0,0,0,1,0,412.0213282,1,1,20.379289,72.932048,8.5
326,0.5,0,0,3,0,1877.435352,1,1,22.340396,73.19706,53.0
327,0.5,1,0,2,0,1150.121065,0,1,50.817397,4.42145,38.0
328,0,0,0,2,0,910.0529101,1,1,22.281878,70.752639,43.0
329,1,1,1,2,0,1080.0,0,0,13.010349,77.712151,32.4
330,0.5,0,1,3,0,1902.843071,1,1,12.96991,77.59796,170.0
331,0,0,0,1,0,850.4606662,1,1,22.1764,75.8193,12.0
332,0.5,1,1,2,0,1051.223242,0,1,19.18,72.96333,110.0
333,0.5,0,1,2,0,945.0617925,1,1,24.69028,78.41889,91.0
334,0,1,0,2,0,570.0958797999999,0,1,23.259859,77.427777,22.0
335,0.5,0,0,2,0,1050.070432,1,1,19.049989,73.077321,82.0
336,0.5,0,1,2,0,1785.060417,1,1,19.1145,72.8712,390.0
337,0,0,0,2,0,800.0,1,1,22.403867,88.47000600000001,35.0
338,0,0,0,2,0,750.0551511,1,1,12.919987,77.489265,34.0
339,0.5,0,0,2,0,1129.908619,1,1,28.409274,77.322293,91.5
340,1,1,1,4,0,2857.142857,0,0,22.1764,75.8193,120.0
341,0.5,0,0,2,0,896.6801117000001,1,1,30.662283,76.822397,28.9
342,0,0,0,2,0,900.116144,1,1,16.198332,77.34239000000001,31.0
343,0,0,0,3,0,1870.32419,1,1,28.874383,77.113251,75.0
344,0,0,0,2,0,1288.102262,1,1,13.0306,77.6485,78.6
345,0.5,1,1,4,0,2461.538462,0,1,26.91868,75.750399,160.0
346,0.5,0,0,2,0,1066.408143,1,1,22.288976,73.128222,22.0
347,0.5,0,0,4,0,4299.996417,1,1,19.139348,72.820458,1200.0
348,0.5,1,1,2,0,816.8491699,0,0,19.0167,72.8167,370.0
349,0.5,0,0,2,0,1261.625556,1,1,28.874383,77.113251,31.2
350,0,0,0,2,0,1160.092807,1,1,13.0583,77.5732,45.0
351,0.5,1,1,2,0,828.7063893,0,1,12.91668,77.59196,100.0
352,0,0,1,3,0,2015.021066,1,1,13.010349,77.712151,110.0
353,0.5,0,0,3,0,2765.784114,1,1,26.928785,75.828002,67.9
354,0.5,0,0,2,0,790.0334245,1,1,12.863492,77.74143000000001,26.0
355,1,0,0,3,0,1358.024691,1,0,13.09,80.27,110.0
356,0,0,0,1,0,850.1594049,1,1,21.800275,72.60499300000001,24.0
357,0.5,0,0,2,0,1115.075825,1,1,18.973908,73.02510600000001,100.0
358,0.5,0,0,1,0,406.3088686,1,1,20.742166,80.104602,110.0
359,0.5,0,0,2,0,1080.080235,1,1,22.519728,88.38573000000001,70.0
360,0.5,0,1,4,0,3621.234302,1,1,12.96991,77.59796,470.0
361,0.5,1,1,6,0,10050.25126,0,1,28.548382,77.32781899999999,1200.0
362,0.5,0,0,3,0,1150.0069,1,1,19.05871,72.89969,250.0
363,0,0,1,3,0,2489.4067800000003,1,1,12.980033,77.69932800000001,94.0
364,0.5,1,0,3,0,1894.179894,0,1,25.3945,81.8615,53.7
365,0.5,0,0,4,0,4000.0,1,1,28.644695,77.33895600000001,140.0
